,12430012063.C1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Spindle1,12430012063.Energy_Savings.Active_Power_Z1,12430012063.Main_Spindle.Actual_Position_MCS,12430012063.Main_Spindle.Actual_Power,12430012063.Main_Spindle.Actual_Speed_Rate,12430012063.Main_Spindle.MPC_Peak,12430012063.Main_Spindle.MPC_Veff_Total,12430012063.Main_Spindle.Temperature_Spindle,12430012063.Maintenance_Package.Tool_Usage_Main_lubriTOOL,12430012063.Tool_Control_Center.Axial_Force_Tension,12430012063.Tool_Control_Center.Bending_Moment,12430012063.Tool_Control_Center.Symmetry,12430012063.X1_Axis.Actual_Power,12430012063.Y1_Axis.Actual_Power,12430012063.Y1_Axis.Temperature_Y_Slide,12430012063.Z1_Axis.Actual_Feed_Rate,12430012063.Z1_Axis.Actual_Position_MCS,12430012063.Z1_Axis.Actual_Power,timeStamp,12430012063.Energy_Savings.Active_Power_X1,12430012063.Tool_Control_Center.Axial_Force_Compression,12430012063.X1_Axis.Actual_Feed_Rate,12430012063.X1_Axis.Actual_Position_MCS,12430012063.A1_Axis.Actual_Power,12430012063.Energy_Savings.Active_Power_Y1,12430012063.Y1_Axis.Actual_Feed_Rate,12430012063.Y1_Axis.Actual_Position_MCS,Label
0,1.5,3.126358695652174,53.5279,179.81621848739485,0.5,317.37931034482756,1.0,0.5,28.104999999999997,74.39,1.2585365853658537,2.5,0.18315789473684213,1.5,0.5,24.765,354.875,-304.4475438596491,13.73913043478261,2019-11-20 09:34:30.170,,,,,,,,,-
1,1.5714285714285714,1.7632183908045977,-223.57662499999995,184.3504464285714,0.5074626865671642,317.5,0.6666666666666666,0.5,,,0.6740740740740747,0.85,0.18962962962962956,4.166666666666667,0.5,24.766666666666666,8.8,-302.5818018018019,13.766666666666667,2019-11-20 09:34:53.847,416.853,0.05263157894736842,1011.6666666666666,367.525,,,,,-
2,1.0,1.3981770833333345,382.3416250000001,181.43026785714298,0.5,317.3,2.3333333333333335,0.5,28.067142857142862,74.38,0.047826086956521734,0.4782608695652174,0.14226415094339623,9.0,0.6,,-156.0,-302.53594594594597,12.5625,2019-11-20 09:35:16.250,-60.904,0.04814814814814815,3049.5,384.03,,,,,-
3,1.5,1.0652777777777782,700.2045714285715,177.69297297297297,0.49230769230769234,317.12820512820514,1.6666666666666667,1.0,28.032857142857146,,0.049999999999999996,0.5,0.15134615384615385,0.5,1.0,,26.0,-303.4183486238532,17.35,2019-11-20 09:35:38.677,-111.657,0.054285714285714305,0.0,397.96,,,,,-
4,1.5454545454545454,0.2255882352941179,-132.68714285714282,175.6166964285714,0.5084745762711864,317.0625,1.5,1.0,28.0,74.37,0.05000000000000001,0.5294117647058824,0.14140350877192984,3.0,0.6666666666666666,,67.9090909090909,-302.54027027027024,16.608695652173914,2019-11-20 09:36:00.879,4.0605,0.052000000000000005,4358.5,410.085,,,,,-
5,1.4,0.2130555555555558,127.75799999999998,183.63008928571426,0.4931506849315068,317.3939393939394,1.6666666666666667,1.0,27.97,74.36,0.049999999999999996,0.47058823529411764,0.14365384615384616,11.75,0.8,,-129.63636363636363,-302.59981981981986,13.85,2019-11-20 09:36:23.300,36.5425,0.05,1133.0,428.07,5.5,,,,-
6,1.5384615384615385,0.20184210526315813,930.6755714285715,178.61207207207192,0.5,317.25,1.5,0.6666666666666666,27.936,,0.05,0.5,0.1345833333333333,1.5,1.0,24.8,-92.36363636363636,-303.4996363636364,15.3125,2019-11-20 09:36:45.710,-203.013,0.06428571428571428,0.0,442.96,5.533333333333333,,,,-
7,1.4444444444444444,0.21071428571428596,322.86622222222223,179.16651785714288,0.5,317.13953488372096,2.0,0.42857142857142855,27.901999999999997,74.35,0.05,0.52,0.19423076923076923,2.857142857142857,0.8,24.8008695652174,77.88461538461539,-303.5181818181818,19.0625,2019-11-20 09:37:07.911,,0.05909090909090909,4252.0,453.025,5.454545454545454,,,,-
8,1.6666666666666667,0.7989583333333337,-269.50412499999993,182.77437500000005,0.5,317.1111111111111,1.3333333333333333,0.5,27.864615384615384,,0.05,0.4857142857142857,0.15875000000000009,2.3333333333333335,0.6666666666666666,24.800000000000004,25.166666666666668,-302.617027027027,15.666666666666666,2019-11-20 09:37:30.317,415.4995,0.045454545454545456,2775.0,471.875,5.5,32.881,,,-
9,1.4285714285714286,0.8247311827956997,85.09450000000001,187.00725663716807,0.5074626865671642,317.10526315789474,1.5,1.0,27.841999999999995,74.34,,0.5,0.18185185185185182,18.25,1.8571428571428572,,-91.63636363636364,-302.61477477477484,13.526315789473685,2019-11-20 09:37:52.718,1607.4099999999999,0.08000000000000002,-8254.0,369.9875,5.333333333333333,-3.0825,1496.0,-400.655,-
